round,date,match,venue
Sat 1 Aug 12:00pm,"Fremantle
v 
Western Bulldogs",Optus Stadium,
Sat 8 Aug 12:00pm,"Brisbane
v 
Hawthorn",Gabba,
Sat 8 Aug 12:00pm,"Geelong
v 
Essendon",GMHBA Stadium,
Sat 8 Aug 12:00pm,"GWS
v 
Gold Coast",Manuka Oval,
Sat 8 Aug 12:00pm,"Melbourne
v 
Fremantle",MCG,
Sat 8 Aug 12:00pm,"St Kilda
v 
Carlton",Marvel Stadium,
Sat 8 Aug 12:00pm,"Sydney
v 
Port Adelaide",SCG,
Sat 8 Aug 12:00pm,"Western Bulldogs
v 
North Melbourne",Marvel Stadium,
Sat 8 Aug 12:00pm,"Adelaide
v 
Richmond",Adelaide Oval,
Sat 8 Aug 12:00pm,"West Coast
v 
Collingwood",Optus Stadium,
Sat 15 Aug 12:00pm,"Brisbane
v 
Gold Coast",Gabba,
Sat 15 Aug 12:00pm,"Essendon
v 
Sydney",MCG,
Sat 15 Aug 12:00pm,"GWS
v 
West Coast",ENGIE Stadium,
Sat 15 Aug 12:00pm,"Hawthorn
v 
Collingwood",MCG,
Sat 15 Aug 12:00pm,"North Melbourne
v 
Geelong",Marvel Stadium,
Sat 15 Aug 12:00pm,"Richmond
v 
St Kilda",MCG,
Sat 15 Aug 12:00pm,"Western Bulldogs
v 
Carlton",Marvel Stadium,
Sat 15 Aug 12:00pm,"Port Adelaide
v 
Melbourne",Adelaide Oval,
Sat 15 Aug 12:00pm,"Fremantle
v 
Adelaide",Optus Stadium,
Sat 22 Aug 12:00pm,"Collingwood
v 
Brisbane",MCG,
Sat 22 Aug 12:00pm,"Carlton
v 
Fremantle",Marvel Stadium,
Sat 22 Aug 12:00pm,"Essendon
v 
Port Adelaide",Marvel Stadium,
Sat 22 Aug 12:00pm,"Geelong
v 
Richmond",GMHBA Stadium,
Sat 22 Aug 12:00pm,"Melbourne
v 
Western Bulldogs",MCG,
Sat 22 Aug 12:00pm,"St Kilda
v 
Gold Coast",Marvel Stadium,
Sat 22 Aug 12:00pm,"Sydney
v 
North Melbourne",SCG,
Sat 22 Aug 12:00pm,"Adelaide
v 
GWS",Adelaide Oval,
Sat 22 Aug 12:00pm,"West Coast
v 
Hawthorn",Optus Stadium,
